freq,sex,age,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,T,TOTAL,PC,AT	17.2 	17.1 	16.8 	16.5 	16.7 	17.3 
A,T,TOTAL,PC,BE	22.2 	22.0 	20.5 	20.0 b	20.3 	18.8 
A,T,TOTAL,PC,BG	41.0 b	38.0 	33.0 	33.2 	33.5 	31.7 
A,T,TOTAL,PC,CY	22.6 	21.4 	19.1 	18.6 	17.6 	17.3 
A,T,TOTAL,PC,CZ	12.4 	12.1 	11.8 	12.1 	11.5 	10.7 
A,T,TOTAL,PC,DE	19.8 	18.8 	18.5 	17.3 	20.4 b	21.0 
A,T,TOTAL,PC,DK	17.5 	17.8 	17.5 	17.3 	16.8 b	17.3 
A,T,TOTAL,PC,EE	23.1 	23.3 	23.6 	23.7 	22.8 	22.2 
A,T,TOTAL,PC,EL	32.6 	32.2 	30.3 	29.0 	27.4 	28.3 
A,T,TOTAL,PC,ES	28.8 	27.5 	27.3 	26.2 	27.0 	27.8 
A,T,TOTAL,PC,FI	16.5 	16.0 	16.6 	14.5 b	14.9 	14.2 
A,T,TOTAL,PC,FR	18.7 	17.8 	17.9 	18.8 	19.3 b	19.2 
A,T,TOTAL,PC,HR	23.5 	23.7 	22.1 	20.8 	20.5 	20.9 
A,T,TOTAL,PC,HU	28.6 	25.9 	20.6 	20.0 	19.4 	19.4 
A,T,TOTAL,PC,IE	23.8 	22.4 	20.8 	20.4 	20.1 b	20.0 
A,T,TOTAL,PC,IT	27.8 	25.9 	25.7 	24.6 	24.9 	25.2 
A,T,TOTAL,PC,LT	30.0 	29.8 	28.5 	25.5 	24.5 	23.5 
A,T,TOTAL,PC,LU	19.1 b	19.3 	20.1 	20.1 	19.9 b	21.1 b
A,T,TOTAL,PC,LV	28.2 	28.5 	28.4 	26.7 	25.1 	26.1 
A,T,TOTAL,PC,MT	20.2 	19.4 	19.2 	20.7 	19.9 	20.3 
A,T,TOTAL,PC,NL	16.3 b	16.6 	16.5 	16.5 	16.0 	16.6 
A,T,TOTAL,PC,PL	20.6 	18.7 	18.2 	17.9 	17.0 	16.8 
A,T,TOTAL,PC,PT	24.9 	23.4 	21.6 	21.1 	20.0 	22.4 
A,T,TOTAL,PC,RO	46.0 	42.5 	38.7 	36.1 	35.6 	34.5 
A,T,TOTAL,PC,SE	17.7 	17.2 	17.7 	18.4 	17.7 	17.2 
A,T,TOTAL,PC,SI	16.9 	16.6 	15.4 	13.7 	14.3 	13.2 
A,T,TOTAL,PC,SK	17.1 	15.8 	15.2 	14.8 	13.8 	15.6 
