geo,year,theft,poverty,neet,education,unemployment,income,inequity
Austria,2016,1651.67,14.96481012,8.09143803,34.54086987,3.8282072400000007,62.52881082216459,4.09
Belgium,2016,2055.54,25.11067974,13.799562739999999,50.10824830999999,5.316224989999999,60.78388178892063,3.85
Bulgaria,2016,457.48,29.3305144,16.02447616,23.46441152,3.64842984,32.978295251720965,7.69
Cyprus,2016,86.17,1.91720094,1.5269741999999997,4.767552780000001,0.72955434,52.77273709959089,4.88
Czechia,2016,674.86,13.08676532,11.714765730000002,34.40552818,2.74399918,43.97412836115314,3.5
Germany,2016,1570.39,162.70785432,82.175684,250.6358362,22.187434680000003,60.09894670996668,4.62
Denmark,2016,3951.31,9.987689249999999,4.79409084,25.45433946,2.3399729099999997,65.44283891509822,4.06
Estonia,2016,682.55,3.03983064,1.75020552,5.14534104,0.64481256,45.04144892575698,5.56
Greece,2016,530.04,35.15501848,23.61640812,44.213366799999996,15.312922159999998,43.567497619272814,6.55
Spain,2016,351.16,133.74748512000002,84.05657919000002,190.4044059,59.44332672,52.53962739051106,6.6
Finland,2016,2309.58,9.0540582,6.145784959999999,22.333343560000003,3.18263864,62.04682683259772,3.58
France,2016,2251.41,124.61379117,90.62821176000001,294.54168822,41.982186330000005,60.71617878793769,4.32
Croatia,2016,303.98,9.84807215,8.171804550000001,13.745394319999997,3.14300175,39.84893961841081,5.0
Hungary,2016,952.06,28.115187100000004,11.796581999999999,29.884674399999998,3.0474503499999996,37.755115437025275,4.26
Ireland,2016,1312.17,11.248560679999999,6.8531147,25.663732979999995,2.6467201599999997,61.48459257008831,4.45
Italy,2016,1867.31,168.65023178000004,148.02394444,155.30381056,40.03926366,55.651389793580115,6.27
Lithuania,2016,691.11,8.665674000000001,3.09075706,15.858183419999998,1.5309357399999999,39.71270884199246,7.06
Luxembourg,2016,1727.38,1.10063559,0.39184932,2.96768235,0.2304996,69.31071428510903,4.62
Latvia,2016,739.99,5.55245874,2.6187128100000003,8.28930897,1.29951162,40.92808902843918,6.2
Malta,2016,2030.6,0.9098382999999999,0.42339010000000005,1.54492345,0.13062035,52.42633026065504,4.22
Netherlands,2016,1790.76,27.6759656,11.7155928,76.7456224,8.6593512,61.25803542645999,3.93
Poland,2016,332.9,78.21245054,53.154092600000006,165.15735915,14.42753942,40.212974414003014,4.76
Portugal,2016,863.57,25.7499117,13.2369024,36.194655,7.5491709,45.5853308333178,5.88
Romania,2016,466.08,90.898691,48.01822155,49.006250800000004,7.5090223,30.526919828261608,7.2
