freq,iccs,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS03011,P_HTHAB,BG	2.55 	2.25 	2.04 	1.65 	1.78 	2.00 	1.60 	1.87 	1.57 	1.16 
A,ICCS03011,P_HTHAB,CH	7.15 	7.10 	6.83 	6.46 	7.06 	7.35 	7.38 	7.95 	8.28 	8.73 
A,ICCS03011,P_HTHAB,CY	3.60 	2.66 	1.98 	2.48 	2.59 	2.22 	3.24 	1.83 	3.15 	6.14 
A,ICCS03011,P_HTHAB,CZ	6.37 	5.60 	6.36 	5.67 	6.15 	5.65 	6.14 	6.41 	5.98 	7.22 
A,ICCS03011,P_HTHAB,DE	10.00 	9.20 	9.09 	8.65 	9.64 	10.07 	10.91 	11.53 	12.17 	12.52 
A,ICCS03011,P_HTHAB,DK	15.57 	14.98 	14.87 	18.57 	29.42 	31.36 	38.35 	35.33 	37.35 	45.51 
A,ICCS03011,P_HTHAB,EE	10.79 	10.23 	11.17 	12.24 	11.55 	11.40 	16.07 	15.32 	11.44 	13.98 
A,ICCS03011,P_HTHAB,EL	1.51 	1.35 	1.23 	1.12 	1.44 	1.45 	1.46 	1.70 	1.60 	2.43 
A,ICCS03011,P_HTHAB,ES	2.73 	2.78 	2.66 	2.65 	2.69 	2.98 	3.64 	3.99 	3.37 	4.52 
A,ICCS03011,P_HTHAB,FI	18.68 	17.97 	18.51 	19.06 	21.14 	22.62 	25.27 	27.38 	27.47 	35.65 
A,ICCS03011,P_HTHAB,FR	16.68 	17.03 	18.44 	19.28 	22.52 	24.35 	28.58 	34.05 	37.95 	50.13 
A,ICCS03011,P_HTHAB,HR	2.95 	6.43 	7.89 	6.11 	7.59 	5.92 	7.23 	11.58 	7.44 	11.17 
A,ICCS03011,P_HTHAB,HU	1.93 	2.50 	3.22 	3.86 	6.08 	6.00 	5.53 	3.90 	5.16 	4.86 
A,ICCS03011,P_HTHAB,IE	9.97 	8.52 	10.35 	14.24 	14.73 	17.54 	21.32 	21.72 	20.69 	21.25 
A,ICCS03011,P_HTHAB,IS	38.18 	55.93 	39.61 	54.09 	55.63 	62.95 	75.48 	60.23 	43.39 	57.21 
A,ICCS03011,P_HTHAB,LI	10.97 	8.14 	13.47 	5.35 	5.32 	13.22 	13.12 	2.61 	7.74 	5.12 
A,ICCS03011,P_HTHAB,LT	5.93 	4.48 	5.37 	5.31 	3.81 	4.35 	4.13 	3.36 	2.58 	2.43 
A,ICCS03011,P_HTHAB,LU	14.48 	16.57 	13.28 	12.08 	18.39 	14.22 	12.62 	18.90 	16.61 	17.33 
A,ICCS03011,P_HTHAB,LV	3.13 	3.61 	3.75 	3.02 	7.21 	8.26 	9.10 	8.91 	10.59 	9.09 
A,ICCS03011,P_HTHAB,ME	0.48 	0.64 	0.80 	0.80 	0.32 	1.61 	1.29 	0.64 	1.45 	1.29 
A,ICCS03011,P_HTHAB,MK	2.09 	1.84 	2.18 	1.98 	1.74 	1.69 	: 	: 	: 	: 
A,ICCS03011,P_HTHAB,MT	3.11 	3.56 	2.59 	5.36 	5.99 	4.13 	3.78 	6.28 	3.30 	6.20 
A,ICCS03011,P_HTHAB,NL	8.64 	7.42 	7.25 	7.48 	9.04 	10.30 	11.29 	11.89 	11.81 	13.39 
A,ICCS03011,P_HTHAB,NO	33.01 	31.56 	31.91 	36.85 	42.89 	43.89 	48.42 	41.23 	41.62 	45.83 
A,ICCS03011,P_HTHAB,PL	3.76 	2.07 	2.09 	1.73 	2.08 	1.89 	1.99 	1.87 	1.50 	1.54 
A,ICCS03011,P_HTHAB,PT	3.56 	3.29 	3.59 	3.61 	3.24 	3.96 	4.09 	4.19 	3.06 	3.86 
A,ICCS03011,P_HTHAB,RO	4.45 	4.89 	4.39 	5.11 	4.76 	7.05 	7.49 	8.04 	8.25 	10.16 
A,ICCS03011,P_HTHAB,RS	1.18 	1.95 	1.86 	1.60 	1.48 	1.58 	1.76 	1.67 	1.34 	1.67 
A,ICCS03011,P_HTHAB,SE	62.73 	58.96 	65.26 	56.88 	64.06 	69.72 	74.85 	80.85 	86.02 	89.74 
A,ICCS03011,P_HTHAB,SI	2.82 	2.57 	2.13 	2.04 	1.60 	2.03 	2.03 	1.78 	2.19 	2.61 
A,ICCS03011,P_HTHAB,SK	1.63 	1.68 	1.59 	1.60 	1.51 	1.77 	1.82 	1.78 	1.69 	1.69 
A,ICCS03011,P_HTHAB,UKC-L	29.05 	36.56 	51.40 	62.28 	71.59 	92.29 	99.48 	: 	: 	: 
A,ICCS03011,P_HTHAB,UKM	25.86 	31.77 	33.67 	31.59 	32.64 	39.45 	42.17 	: 	: 	: 
A,ICCS03011,P_HTHAB,UKN	27.65 	29.73 	37.39 	40.79 	44.60 	51.00 	58.10 	: 	: 	: 
A,ICCS03011,P_HTHAB,XK	: 	: 	: 	: 	1.58 	1.63 	1.78 	2.78 	3.37 	: 
A,ICCS03012,P_HTHAB,AL	: 	: 	1.93 	2.70 	2.64 	2.43 	2.33 	2.69 	2.81 	2.47 
A,ICCS03012,P_HTHAB,AT	33.11 	25.47 	24.91 	23.43 	32.46 	27.55 	27.48 	26.64 	23.99 	24.73 
A,ICCS03012,P_HTHAB,BE	66.08 	34.16 	33.17 	32.54 	38.80 	43.23 	42.72 	46.00 	46.07 	49.30 
A,ICCS03012,P_HTHAB,BG	6.81 	6.42 	6.38 	6.72 	: 	: 	6.55 	6.77 	6.60 	6.75 
A,ICCS03012,P_HTHAB,CH	25.29 	26.43 	26.92 	26.44 	25.87 	37.25 	7.84 	7.33 	7.94 	8.30 
A,ICCS03012,P_HTHAB,CY	0.23 	0.12 	0.23 	0.00 	0.24 	0.12 	0.12 	0.11 	0.23 	0.89 
A,ICCS03012,P_HTHAB,CZ	7.05 	7.86 	7.23 	7.79 	6.91 	7.59 	7.40 	8.12 	7.40 	7.48 
A,ICCS03012,P_HTHAB,DE	35.16 	34.68 	34.19 	33.55 	35.59 	32.12 	38.11 	37.52 	37.22 	37.74 
A,ICCS03012,P_HTHAB,DK	18.55 	17.92 	27.21 	27.56 	37.04 	52.05 	57.48 	48.98 	54.87 	63.10 
A,ICCS03012,P_HTHAB,EE	7.92 	7.95 	3.95 	9.35 	9.04 	8.28 	6.37 	11.47 	11.89 	10.07 
A,ICCS03012,P_HTHAB,EL	1.83 	1.70 	1.75 	2.39 	2.44 	2.08 	1.69 	0.65 	0.11 	0.11 
A,ICCS03012,P_HTHAB,ES	16.51 	16.32 	17.69 	13.49 	16.10 	17.36 	21.24 	23.77 	20.10 	26.95 
A,ICCS03012,P_HTHAB,FI	41.19 	37.09 	33.31 	31.60 	36.96 	32.87 	38.89 	45.27 	46.04 	54.99 
A,ICCS03012,P_HTHAB,FR	24.35 	25.32 	28.51 	30.78 	31.70 	35.05 	42.25 	46.80 	45.79 	59.58 
A,ICCS03012,P_HTHAB,HR	5.07 	7.09 	6.33 	8.21 	8.54 	5.54 	5.94 	8.61 	6.53 	9.74 
A,ICCS03012,P_HTHAB,HU	5.05 	4.35 	2.30 	2.45 	: 	: 	: 	: 	: 	: 
A,ICCS03012,P_HTHAB,IE	30.06 	30.21 	29.84 	30.02 	32.44 	35.37 	36.77 	36.34 	31.32 	37.09 
A,ICCS03012,P_HTHAB,IS	: 	17.40 	12.59 	13.67 	13.53 	20.39 	11.48 	19.89 	13.18 	15.46 
A,ICCS03012,P_HTHAB,IT	7.89 	7.52 	7.00 	6.58 	: 	: 	: 	: 	: 	: 
A,ICCS03012,P_HTHAB,LI	: 	105.87 	37.71 	42.82 	18.61 	: 	: 	: 	: 	: 
A,ICCS03012,P_HTHAB,LT	8.76 	4.11 	5.40 	3.70 	3.39 	3.58 	3.67 	3.44 	1.93 	2.83 
A,ICCS03012,P_HTHAB,LU	61.35 	58.84 	65.86 	51.16 	: 	: 	: 	: 	: 	: 
A,ICCS03012,P_HTHAB,LV	: 	15.02 	18.44 	12.24 	4.22 	5.74 	6.88 	7.08 	6.03 	9.14 
A,ICCS03012,P_HTHAB,ME	3.39 	3.06 	4.18 	3.38 	2.57 	1.12 	2.09 	4.50 	2.25 	3.87 
A,ICCS03012,P_HTHAB,MK	: 	5.48 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS03012,P_HTHAB,MT	16.53 	18.75 	15.52 	18.87 	13.54 	12.82 	15.77 	17.83 	13.99 	20.54 
A,ICCS03012,P_HTHAB,NL	12.37 	11.62 	10.78 	10.12 	13.05 	12.88 	13.82 	12.99 	11.23 	12.73 
A,ICCS03012,P_HTHAB,NO	31.78 	32.29 	35.38 	40.99 	56.13 	55.09 	51.63 	46.75 	44.51 	51.92 
A,ICCS03012,P_HTHAB,PL	: 	1.14 	1.01 	1.11 	1.35 	1.20 	1.10 	1.52 	0.95 	0.93 
A,ICCS03012,P_HTHAB,PT	16.69 	17.08 	18.77 	19.95 	20.67 	20.66 	19.84 	22.09 	20.58 	22.55 
A,ICCS03012,P_HTHAB,RO	3.21 	3.72 	3.21 	0.40 	0.50 	0.73 	1.47 	1.81 	1.65 	2.06 
A,ICCS03012,P_HTHAB,RS	4.30 	1.68 	2.17 	1.88 	2.52 	2.87 	4.83 	6.36 	5.67 	7.96 
A,ICCS03012,P_HTHAB,SE	107.83 	92.86 	105.89 	95.61 	111.32 	115.11 	111.57 	108.91 	112.00 	121.74 
A,ICCS03012,P_HTHAB,SI	15.03 	2.38 	2.33 	1.45 	2.08 	2.08 	1.60 	1.97 	2.05 	2.04 
A,ICCS03012,P_HTHAB,SK	: 	1.26 	1.00 	1.38 	1.09 	1.60 	1.40 	1.43 	1.08 	1.32 
A,ICCS03012,P_HTHAB,TR	: 	: 	: 	: 	7.02 	7.92 	9.31 	10.35 	9.33 	10.80 
A,ICCS03012,P_HTHAB,UKC-L	40.01 	46.01 	61.07 	71.82 	79.39 	95.29 	100.17 	: 	: 	: 
A,ICCS03012,P_HTHAB,UKM	101.05 	66.22 	71.78 	76.17 	81.91 	91.33 	96.67 	: 	: 	: 
A,ICCS03012,P_HTHAB,UKN	74.55 	54.03 	62.86 	70.52 	73.50 	75.80 	77.99 	: 	: 	: 
A,ICCS03012,P_HTHAB,XK	: 	: 	: 	: 	3.16 	2.80 	2.56 	3.40 	3.14 	: 
A,ICCS0302,P_HTHAB,AL	: 	: 	: 	: 	3.65 	4.21 	3.34 	3.35 	3.37 	6.47 
A,ICCS0302,P_HTHAB,AT	: 	: 	: 	: 	9.60 	10.57 	15.39 	20.98 	21.54 	23.68 
A,ICCS0302,P_HTHAB,BE	: 	: 	: 	: 	22.19 	25.12 	25.98 	32.41 	28.75 	24.35 
A,ICCS0302,P_HTHAB,CH	: 	: 	: 	: 	3.39 	8.93 	10.34 	17.38 	19.39 	18.11 
A,ICCS0302,P_HTHAB,CY	: 	: 	: 	: 	9.43 	11.70 	14.58 	12.10 	18.47 	19.87 
A,ICCS0302,P_HTHAB,CZ	: 	: 	: 	: 	3.75 	5.19 	6.44 	7.18 	6.23 	6.63 
A,ICCS0302,P_HTHAB,DE	: 	: 	: 	: 	: 	10.96 	12.54 	19.30 	27.84 	53.78 
A,ICCS0302,P_HTHAB,DK	: 	: 	: 	: 	10.46 	35.47 	29.08 	27.57 	32.65 	36.39 
A,ICCS0302,P_HTHAB,EL	: 	: 	: 	: 	2.56 	1.71 	1.62 	0.95 	0.97 	1.07 
A,ICCS0302,P_HTHAB,ES	: 	: 	: 	: 	3.91 	4.22 	4.12 	4.35 	3.90 	3.94 
A,ICCS0302,P_HTHAB,FI	: 	: 	: 	: 	5.14 	5.89 	6.67 	8.70 	15.82 	13.82 
A,ICCS0302,P_HTHAB,FR	: 	: 	: 	: 	11.47 	13.42 	13.99 	15.83 	16.96 	18.38 
A,ICCS0302,P_HTHAB,HR	: 	: 	: 	: 	10.88 	8.95 	6.70 	9.84 	8.87 	12.36 
A,ICCS0302,P_HTHAB,HU	: 	: 	: 	: 	5.32 	16.68 	4.87 	3.44 	3.80 	5.10 
A,ICCS0302,P_HTHAB,IE	: 	: 	: 	: 	6.69 	7.59 	8.76 	10.48 	9.23 	10.23 
A,ICCS0302,P_HTHAB,IT	: 	: 	: 	: 	3.83 	3.79 	3.61 	3.88 	4.22 	4.33 
A,ICCS0302,P_HTHAB,LT	: 	: 	: 	: 	9.38 	11.69 	14.85 	14.96 	17.25 	12.52 
A,ICCS0302,P_HTHAB,LV	: 	: 	: 	: 	16.91 	9.59 	10.03 	12.76 	11.74 	15.42 
A,ICCS0302,P_HTHAB,NL	: 	: 	: 	: 	2.68 	2.52 	2.68 	3.30 	2.61 	2.60 
A,ICCS0302,P_HTHAB,NO	: 	: 	: 	: 	10.96 	21.03 	27.78 	19.59 	23.46 	32.35 
A,ICCS0302,P_HTHAB,PL	: 	: 	: 	: 	8.09 	8.67 	12.33 	38.74 	17.23 	15.01 
A,ICCS0302,P_HTHAB,PT	: 	: 	: 	: 	: 	: 	1.54 	2.54 	4.85 	4.59 
A,ICCS0302,P_HTHAB,RO	: 	: 	: 	: 	: 	2.71 	2.79 	3.66 	4.54 	5.00 
A,ICCS0302,P_HTHAB,RS	: 	: 	: 	: 	1.05 	0.95 	1.00 	1.31 	1.54 	2.84 
A,ICCS0302,P_HTHAB,SE	: 	: 	: 	: 	17.84 	30.90 	22.65 	32.39 	47.97 	59.75 
A,ICCS0302,P_HTHAB,SK	: 	: 	: 	: 	0.37 	0.50 	0.50 	0.31 	0.40 	0.31 
A,ICCS0302,P_HTHAB,XK	: 	: 	: 	: 	19.30 	19.62 	15.40 	2.23 	: 	: 
A,ICCS0401,P_HTHAB,AL	: 	: 	10.25 	8.11 	5.53 	6.36 	4.63 	3.42 	2.88 	2.83 
A,ICCS0401,P_HTHAB,AT	48.67 	44.22 	40.92 	39.79 	35.66 	29.75 	27.16 	29.67 	24.01 	23.71 
A,ICCS0401,P_HTHAB,BA	26.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS0401,P_HTHAB,BE	230.81 	204.98 	196.12 	180.45 	165.13 	155.44 	144.61 	140.47 	102.65 	99.05 
A,ICCS0401,P_HTHAB,BG	40.33 	40.87 	32.10 	27.02 	23.29 	21.94 	17.94 	16.90 	14.41 	12.14 
A,ICCS0401,P_HTHAB,CH	45.29 	39.76 	29.08 	22.57 	22.53 	20.74 	19.38 	21.91 	22.65 	20.02 
A,ICCS0401,P_HTHAB,CY	20.07 	17.21 	12.12 	9.21 	10.96 	12.05 	8.45 	6.28 	8.78 	7.59 
A,ICCS0401,P_HTHAB,CZ	32.52 	29.01 	24.23 	19.19 	15.60 	14.98 	13.25 	13.51 	11.67 	11.49 
A,ICCS0401,P_HTHAB,DE	60.64 	58.66 	56.30 	55.01 	52.34 	47.08 	44.40 	43.43 	40.73 	36.23 
A,ICCS0401,P_HTHAB,DK	53.81 	57.12 	41.26 	35.94 	38.28 	35.52 	31.46 	29.25 	28.08 	22.04 
A,ICCS0401,P_HTHAB,EE	34.48 	36.06 	27.36 	25.63 	18.85 	15.28 	12.89 	11.47 	8.50 	9.70 
A,ICCS0401,P_HTHAB,EL	54.05 	44.70 	34.78 	39.75 	43.94 	39.66 	40.57 	40.42 	23.71 	22.50 
A,ICCS0401,P_HTHAB,ES	206.34 	184.12 	152.34 	139.03 	135.56 	132.74 	129.23 	140.35 	95.63 	111.97 
A,ICCS0401,P_HTHAB,FI	29.91 	28.07 	30.95 	28.29 	30.43 	29.80 	30.84 	32.71 	36.11 	34.19 
A,ICCS0401,P_HTHAB,FR	189.67 	190.02 	173.02 	156.59 	130.73 	121.17 	109.31 	105.54 	86.45 	82.96 
A,ICCS0401,P_HTHAB,HR	37.14 	35.73 	29.86 	31.03 	25.49 	20.80 	18.97 	20.56 	15.57 	14.96 
A,ICCS0401,P_HTHAB,HU	30.57 	23.19 	19.78 	14.61 	11.23 	8.58 	7.12 	6.48 	6.22 	5.56 
A,ICCS0401,P_HTHAB,IE	61.33 	60.88 	57.14 	51.82 	41.36 	42.18 	45.11 	41.54 	28.26 	23.43 
A,ICCS0401,P_HTHAB,IS	15.65 	15.22 	15.66 	16.10 	15.04 	14.48 	22.10 	15.13 	20.60 	16.27 
A,ICCS0401,P_HTHAB,IT	105.47 	106.84 	64.55 	57.71 	55.09 	51.44 	47.92 	41.50 	34.34 	38.05 
A,ICCS0401,P_HTHAB,LI	13.71 	2.71 	2.69 	8.03 	10.63 	5.29 	5.25 	5.21 	10.32 	5.12 
A,ICCS0401,P_HTHAB,LT	64.02 	62.79 	57.35 	54.43 	46.46 	38.20 	29.26 	23.80 	17.14 	11.09 
A,ICCS0401,P_HTHAB,LU	100.41 	108.37 	111.88 	98.41 	79.65 	76.86 	74.58 	74.44 	75.39 	93.74 
A,ICCS0401,P_HTHAB,LV	46.12 	45.31 	40.42 	39.22 	33.06 	30.97 	27.61 	25.68 	22.80 	13.89 
A,ICCS0401,P_HTHAB,ME	18.86 	25.93 	30.25 	25.08 	20.57 	18.96 	19.76 	15.27 	7.72 	9.34 
A,ICCS0401,P_HTHAB,MK	22.77 	22.69 	14.76 	13.44 	11.97 	20.11 	: 	: 	: 	: 
A,ICCS0401,P_HTHAB,MT	61.55 	49.13 	44.67 	55.04 	57.50 	43.88 	43.72 	35.25 	24.88 	19.57 
A,ICCS0401,P_HTHAB,NL	89.30 	79.53 	62.09 	57.57 	52.89 	46.69 	45.31 	49.70 	41.91 	31.76 
A,ICCS0401,P_HTHAB,NO	29.76 	33.00 	20.81 	18.00 	15.54 	14.85 	14.88 	16.53 	17.85 	14.21 
A,ICCS0401,P_HTHAB,PL	43.83 	51.32 	36.48 	26.86 	25.37 	21.37 	17.91 	17.05 	13.93 	12.88 
A,ICCS0401,P_HTHAB,PT	175.61 	158.19 	149.55 	149.13 	128.74 	115.28 	102.47 	106.32 	87.18 	76.65 
A,ICCS0401,P_HTHAB,RO	15.89 	14.65 	32.17 	16.90 	15.67 	16.10 	16.77 	17.85 	19.91 	17.77 
A,ICCS0401,P_HTHAB,RS	52.53 	53.64 	45.22 	42.65 	34.23 	25.98 	22.81 	17.91 	12.21 	11.74 
A,ICCS0401,P_HTHAB,SE	97.15 	87.50 	86.72 	86.80 	86.91 	86.53 	85.43 	88.32 	85.32 	70.34 
A,ICCS0401,P_HTHAB,SI	19.02 	18.31 	14.41 	11.25 	10.95 	11.52 	15.58 	15.09 	12.17 	10.53 
A,ICCS0401,P_HTHAB,SK	18.02 	15.43 	12.56 	9.94 	9.69 	8.61 	8.73 	7.52 	5.95 	5.29 
A,ICCS0401,P_HTHAB,TR	13.79 	: 	: 	: 	13.83 	15.25 	13.60 	13.32 	13.55 	15.83 
A,ICCS0401,P_HTHAB,UKC-L	115.58 	101.88 	87.71 	88.70 	102.06 	131.63 	: 	: 	: 	: 
A,ICCS0401,P_HTHAB,UKM	34.53 	28.18 	28.05 	24.76 	26.63 	28.74 	33.24 	: 	: 	: 
A,ICCS0401,P_HTHAB,UKN	57.18 	53.05 	49.31 	43.87 	36.24 	30.38 	33.10 	: 	: 	: 
A,ICCS0401,P_HTHAB,XK	: 	: 	: 	: 	16.26 	17.16 	17.90 	11.42 	9.37 	: 
A,ICCS0501,P_HTHAB,AL	: 	: 	10.18 	7.98 	5.23 	: 	: 	: 	: 	: 
A,ICCS0501,P_HTHAB,AT	1013.76 	1049.51 	1004.91 	922.92 	926.38 	789.47 	664.65 	613.22 	544.17 	452.10 
A,ICCS0501,P_HTHAB,BA	340.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS0501,P_HTHAB,BE	923.41 	895.33 	862.36 	816.58 	698.01 	662.02 	624.43 	567.04 	411.60 	392.89 
A,ICCS0501,P_HTHAB,BG	229.02 	235.61 	211.53 	167.10 	142.04 	124.57 	108.71 	88.94 	76.88 	59.77 
A,ICCS0501,P_HTHAB,CH	926.67 	854.95 	782.66 	638.15 	558.88 	491.13 	458.16 	426.23 	381.35 	359.69 
A,ICCS0501,P_HTHAB,CY	348.02 	312.63 	275.76 	233.65 	202.87 	171.97 	144.64 	135.86 	98.20 	96.43 
A,ICCS0501,P_HTHAB,CZ	528.81 	593.22 	469.01 	327.15 	267.39 	228.07 	199.35 	208.09 	193.20 	287.32 
A,ICCS0501,P_HTHAB,DE	535.57 	543.34 	552.29 	571.36 	526.59 	442.53 	394.25 	374.89 	358.75 	292.43 
A,ICCS0501,P_HTHAB,DK	1450.22 	1409.25 	1237.50 	1119.19 	1053.68 	955.37 	949.08 	831.15 	661.08 	521.11 
A,ICCS0501,P_HTHAB,EL	518.44 	446.74 	399.45 	421.76 	414.35 	181.95 	164.10 	181.80 	129.61 	125.14 
A,ICCS0501,P_HTHAB,ES	347.45 	358.07 	477.38 	349.79 	346.37 	321.64 	323.35 	303.66 	224.17 	222.10 
A,ICCS0501,P_HTHAB,FI	450.04 	176.77 	190.98 	183.69 	157.25 	141.86 	142.46 	135.94 	140.99 	114.66 
A,ICCS0501,P_HTHAB,FR	558.33 	587.67 	574.98 	570.41 	549.95 	547.42 	506.27 	497.96 	415.09 	398.23 
A,ICCS0501,P_HTHAB,HR	449.46 	433.66 	360.32 	354.25 	295.97 	308.63 	265.64 	265.73 	220.20 	188.14 
A,ICCS0501,P_HTHAB,HU	471.78 	380.35 	302.54 	290.14 	: 	: 	: 	: 	: 	: 
A,ICCS0501,P_HTHAB,IE	620.57 	572.65 	596.81 	549.68 	382.58 	392.21 	344.09 	334.69 	213.16 	167.51 
A,ICCS0501,P_HTHAB,IS	429.95 	339.28 	350.97 	386.81 	312.15 	313.29 	369.06 	325.22 	290.83 	284.17 
A,ICCS0501,P_HTHAB,LI	383.82 	339.32 	597.92 	449.61 	374.78 	335.89 	367.32 	278.81 	152.27 	: 
A,ICCS0501,P_HTHAB,LT	: 	109.86 	113.54 	102.66 	91.98 	90.94 	70.60 	58.73 	43.81 	29.40 
A,ICCS0501,P_HTHAB,LU	602.64 	632.91 	794.64 	374.98 	328.33 	342.66 	609.13 	575.18 	476.60 	489.34 
A,ICCS0501,P_HTHAB,LV	47.78 	47.19 	30.58 	25.23 	323.27 	268.24 	252.12 	219.27 	199.35 	146.79 
A,ICCS0501,P_HTHAB,ME	222.95 	190.21 	153.01 	150.94 	136.13 	145.09 	109.42 	100.29 	70.59 	74.11 
A,ICCS0501,P_HTHAB,MK	727.50 	732.63 	634.53 	: 	: 	: 	: 	: 	: 	: 
A,ICCS0501,P_HTHAB,MT	402.83 	341.27 	381.77 	236.76 	239.33 	275.26 	254.57 	257.31 	201.34 	169.15 
A,ICCS0501,P_HTHAB,NL	723.57 	717.96 	614.20 	571.51 	498.29 	437.29 	367.26 	341.10 	286.28 	211.81 
A,ICCS0501,P_HTHAB,NO	348.81 	311.60 	291.51 	: 	: 	: 	: 	: 	: 	: 
A,ICCS0501,P_HTHAB,PL	336.18 	311.42 	281.17 	249.12 	210.52 	178.32 	182.08 	188.01 	196.27 	194.17 
A,ICCS0501,P_HTHAB,PT	415.87 	366.06 	331.94 	283.24 	253.28 	221.86 	221.86 	208.55 	185.83 	159.31 
A,ICCS0501,P_HTHAB,RO	97.16 	97.77 	256.26 	148.77 	138.32 	138.35 	155.96 	150.11 	133.17 	135.49 
A,ICCS0501,P_HTHAB,RS	243.96 	441.33 	374.83 	316.27 	278.14 	239.25 	206.43 	171.04 	137.14 	142.88 
A,ICCS0501,P_HTHAB,SE	928.69 	894.24 	865.92 	923.93 	904.02 	900.25 	769.88 	737.52 	785.66 	703.48 
A,ICCS0501,P_HTHAB,SI	686.26 	746.54 	659.99 	496.93 	518.70 	423.64 	406.26 	400.64 	395.11 	224.90 
A,ICCS0501,P_HTHAB,SK	219.36 	206.38 	174.06 	126.57 	115.37 	105.24 	83.19 	67.79 	68.25 	59.47 
A,ICCS0501,P_HTHAB,TR	159.97 	: 	: 	: 	: 	: 	148.99 	126.45 	115.19 	114.23 
A,ICCS0501,P_HTHAB,UKC-L	815.67 	780.87 	718.55 	695.62 	708.87 	747.32 	717.21 	: 	: 	: 
A,ICCS0501,P_HTHAB,UKM	405.46 	418.64 	386.08 	329.26 	303.15 	279.42 	253.40 	: 	: 	: 
A,ICCS0501,P_HTHAB,UKN	523.44 	499.55 	483.81 	496.24 	397.84 	365.36 	340.52 	: 	: 	: 
A,ICCS0501,P_HTHAB,XK	: 	: 	: 	: 	336.08 	289.99 	289.24 	231.50 	215.42 	: 
A,ICCS05012,P_HTHAB,AL	: 	: 	57.21 	47.95 	42.13 	39.80 	42.43 	40.42 	31.41 	26.29 
A,ICCS05012,P_HTHAB,AT	184.10 	195.79 	201.13 	180.92 	149.31 	133.94 	110.53 	99.31 	73.26 	51.13 
A,ICCS05012,P_HTHAB,BE	681.76 	676.25 	650.00 	584.80 	489.49 	461.00 	450.38 	410.88 	293.12 	288.95 
A,ICCS05012,P_HTHAB,BG	88.11 	87.80 	73.77 	61.55 	: 	: 	93.55 	79.81 	68.13 	57.04 
A,ICCS05012,P_HTHAB,CH	450.06 	493.49 	450.84 	372.24 	312.80 	286.01 	276.12 	249.88 	213.86 	210.30 
A,ICCS05012,P_HTHAB,CY	233.18 	206.15 	189.39 	160.80 	128.25 	107.98 	: 	: 	: 	: 
A,ICCS05012,P_HTHAB,CZ	52.15 	151.75 	122.07 	89.65 	76.05 	68.37 	56.82 	61.27 	51.54 	48.79 
A,ICCS05012,P_HTHAB,DE	179.41 	185.66 	188.35 	205.84 	184.08 	141.22 	117.77 	104.97 	90.21 	65.22 
A,ICCS05012,P_HTHAB,DK	1038.02 	1008.92 	900.02 	807.92 	777.59 	702.60 	688.80 	601.89 	466.08 	394.26 
A,ICCS05012,P_HTHAB,EE	205.10 	161.49 	157.47 	126.40 	100.92 	73.35 	57.23 	45.29 	43.79 	36.92 
A,ICCS05012,P_HTHAB,EL	254.30 	232.19 	209.40 	221.24 	217.18 	91.88 	79.39 	85.92 	59.94 	55.39 
A,ICCS05012,P_HTHAB,ES	270.03 	272.74 	261.82 	248.23 	243.97 	225.87 	229.68 	209.48 	152.92 	159.29 
A,ICCS05012,P_HTHAB,FI	116.29 	105.92 	116.76 	109.11 	96.57 	86.69 	89.35 	82.20 	85.50 	70.44 
A,ICCS05012,P_HTHAB,FR	364.73 	381.75 	357.31 	348.61 	361.29 	: 	: 	: 	: 	: 
A,ICCS05012,P_HTHAB,HR	132.46 	140.68 	116.42 	116.18 	105.21 	109.14 	109.95 	94.60 	79.77 	63.60 
A,ICCS05012,P_HTHAB,HU	239.02 	218.05 	244.26 	205.88 	: 	: 	: 	: 	: 	: 
A,ICCS05012,P_HTHAB,IS	141.75 	118.69 	119.45 	122.15 	92.92 	113.20 	145.79 	: 	106.55 	132.87 
A,ICCS05012,P_HTHAB,IT	399.63 	421.25 	420.99 	386.09 	352.84 	323.20 	316.40 	276.39 	183.60 	210.54 
A,ICCS05012,P_HTHAB,LI	139.82 	249.74 	312.42 	272.98 	204.67 	: 	: 	: 	: 	: 
A,ICCS05012,P_HTHAB,LT	117.39 	109.86 	113.54 	102.66 	91.98 	90.94 	70.60 	58.73 	43.81 	29.40 
A,ICCS05012,P_HTHAB,LU	354.77 	414.87 	603.08 	478.90 	368.42 	: 	: 	: 	171.86 	180.71 
A,ICCS05012,P_HTHAB,LV	35.75 	34.74 	21.58 	12.84 	88.02 	73.28 	66.33 	53.54 	43.67 	27.57 
A,ICCS05012,P_HTHAB,MK	96.47 	127.96 	139.46 	: 	: 	: 	: 	: 	: 	: 
A,ICCS05012,P_HTHAB,MT	240.45 	184.40 	219.10 	165.83 	177.72 	185.32 	181.63 	165.33 	121.07 	111.02 
A,ICCS05012,P_HTHAB,NL	512.90 	509.40 	423.28 	392.44 	334.09 	288.79 	245.27 	225.58 	181.44 	136.85 
