freq,iccs,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS0102,P_HTHAB,CH	2.31 	1.89 	1.62 	1.71 	2.25 	2.27 	1.76 	1.88 	2.39 	2.12 
A,ICCS0102,P_HTHAB,CY	1.39 	0.92 	1.17 	1.30 	0.83 	1.17 	0.93 	1.71 	1.80 	1.45 
A,ICCS0102,P_HTHAB,CZ	0.89 	0.87 	0.75 	0.64 	0.67 	0.43 	0.41 	0.58 	0.64 	0.55 
A,ICCS0102,P_HTHAB,DE	1.98 	1.98 	2.01 	1.91 	2.14 	2.09 	2.33 	2.18 	2.13 	1.87 
A,ICCS0102,P_HTHAB,DK	2.54 	2.95 	2.63 	2.49 	3.40 	3.69 	3.62 	2.57 	2.59 	2.28 
A,ICCS0102,P_HTHAB,EE	1.28 	0.76 	1.06 	1.29 	0.84 	1.22 	1.36 	0.83 	0.98 	0.68 
A,ICCS0102,P_HTHAB,EL	1.67 	1.61 	1.42 	1.56 	1.22 	1.39 	1.15 	1.09 	1.20 	1.42 
A,ICCS0102,P_HTHAB,ES	1.63 	1.42 	1.56 	1.54 	1.75 	1.76 	1.78 	1.78 	2.07 	2.18 
A,ICCS0102,P_HTHAB,FI	6.46 	4.86 	6.00 	5.46 	5.67 	6.32 	6.44 	5.96 	6.93 	6.76 
A,ICCS0102,P_HTHAB,FR	2.39 	2.29 	2.54 	3.18 	3.57 	3.68 	3.97 	4.36 	4.90 	5.03 
A,ICCS0102,P_HTHAB,HR	2.36 	2.96 	2.66 	2.49 	2.22 	3.01 	2.19 	2.40 	2.66 	2.55 
A,ICCS0102,P_HTHAB,HU	1.09 	1.06 	1.07 	0.87 	0.99 	0.73 	0.60 	0.56 	0.94 	0.65 
A,ICCS0102,P_HTHAB,IE	0.19 	0.28 	0.33 	0.28 	0.51 	0.27 	0.29 	0.55 	0.38 	0.32 
A,ICCS0102,P_HTHAB,IS	1.88 	1.55 	1.54 	0.30 	1.80 	2.36 	1.43 	0.56 	1.37 	2.17 
A,ICCS0102,P_HTHAB,IT	2.23 	2.05 	2.06 	1.98 	1.78 	1.81 	1.74 	1.70 	1.47 	1.57 
A,ICCS0102,P_HTHAB,LI	0.00 	0.00 	2.69 	0.00 	0.00 	: 	: 	2.61 	: 	10.24 
A,ICCS0102,P_HTHAB,LT	0.60 	0.47 	0.65 	0.72 	0.66 	0.56 	1.10 	0.54 	0.39 	0.21 
A,ICCS0102,P_HTHAB,LU	20.96 	15.46 	15.28 	11.55 	12.49 	12.53 	11.46 	9.61 	15.33 	10.87 
A,ICCS0102,P_HTHAB,LV	0.64 	0.25 	0.20 	0.10 	0.71 	0.92 	1.19 	1.56 	1.05 	1.00 
A,ICCS0102,P_HTHAB,ME	2.58 	6.44 	8.69 	6.43 	5.63 	8.19 	5.95 	6.75 	5.95 	5.80 
A,ICCS0102,P_HTHAB,MK	2.33 	2.52 	3.63 	2.27 	2.80 	2.70 	: 	: 	: 	: 
A,ICCS0102,P_HTHAB,MT	1.44 	0.71 	1.18 	0.23 	0.22 	1.30 	1.26 	1.01 	0.78 	1.55 
A,ICCS0102,P_HTHAB,NL	21.61 	19.43 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS0102,P_HTHAB,NO	1.00 	1.13 	1.17 	1.18 	0.79 	0.93 	1.32 	1.28 	1.62 	1.54 
A,ICCS0102,P_HTHAB,PL	0.53 	0.61 	0.55 	0.45 	0.45 	0.58 	0.61 	0.77 	0.87 	0.83 
A,ICCS0102,P_HTHAB,RO	2.94 	2.97 	2.47 	2.43 	2.22 	1.95 	2.28 	1.86 	1.73 	1.56 
A,ICCS0102,P_HTHAB,RS	2.81 	3.08 	2.41 	1.94 	2.15 	1.58 	1.36 	1.97 	1.79 	1.79 
A,ICCS0102,P_HTHAB,SE	8.41 	7.62 	8.21 	8.60 	8.92 	9.09 	8.58 	9.61 	10.51 	9.57 
A,ICCS0102,P_HTHAB,SI	1.46 	1.36 	0.78 	1.26 	1.26 	1.98 	1.79 	0.82 	1.62 	1.04 
A,ICCS0102,P_HTHAB,SK	0.00 	1.44 	1.33 	0.89 	: 	1.47 	: 	: 	: 	: 
A,ICCS0102,P_HTHAB,UKM	7.59 	5.96 	4.93 	5.47 	4.39 	4.52 	5.70 	: 	: 	: 
A,ICCS0102,P_HTHAB,UKN	6.38 	5.58 	6.04 	6.06 	4.20 	5.30 	3.94 	: 	: 	: 
A,ICCS0102,P_HTHAB,XK	: 	: 	: 	: 	8.30 	7.51 	7.73 	6.46 	6.45 	: 
A,ICCS020111,P_HTHAB,AL	: 	: 	4.55 	5.84 	4.08 	4.35 	4.70 	5.52 	5.34 	5.76 
A,ICCS020111,P_HTHAB,AT	47.93 	39.36 	37.97 	40.31 	43.60 	41.32 	42.06 	43.29 	39.87 	40.41 
A,ICCS020111,P_HTHAB,BA	16.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS020111,P_HTHAB,BE	651.76 	624.87 	629.75 	555.13 	556.84 	552.89 	565.92 	558.87 	481.62 	502.93 
A,ICCS020111,P_HTHAB,BG	32.89 	33.91 	34.96 	34.99 	34.53 	39.58 	35.72 	39.54 	38.22 	39.88 
A,ICCS020111,P_HTHAB,CH	7.50 	7.07 	7.48 	7.48 	6.88 	6.96 	6.90 	7.46 	7.79 	7.52 
A,ICCS020111,P_HTHAB,CY	17.17 	15.24 	15.62 	16.88 	17.09 	16.85 	15.27 	20.09 	15.32 	19.98 
A,ICCS020111,P_HTHAB,CZ	49.88 	51.14 	49.46 	49.62 	47.85 	45.06 	46.81 	43.98 	36.39 	34.58 
A,ICCS020111,P_HTHAB,DE	169.40 	158.80 	155.70 	156.90 	170.41 	166.09 	165.14 	160.31 	156.86 	147.12 
A,ICCS020111,P_HTHAB,DK	29.69 	26.83 	27.24 	25.80 	30.36 	33.12 	32.12 	33.90 	32.13 	32.26 
