freq,iccs,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS0502,P_HTHAB,EL	530.04 	860.55 	748.07 	800.26 	568.61 	551.92 
A,ICCS0502,P_HTHAB,ES	351.16 	349.09 	360.50 	374.65 	220.82 	262.25 
A,ICCS0502,P_HTHAB,FI	2309.58 	2201.92 	2143.85 	2224.23 	2440.25 	2242.66 
A,ICCS0502,P_HTHAB,FR	2251.41 	2228.96 	2170.64 	2194.61 	1744.79 	1786.35 
A,ICCS0502,P_HTHAB,HR	303.98 	298.81 	296.92 	291.00 	256.72 	255.80 
A,ICCS0502,P_HTHAB,HU	952.06 	819.95 	656.45 	582.92 	516.31 	436.02 
A,ICCS0502,P_HTHAB,IE	1312.17 	1398.78 	1334.74 	1333.62 	982.53 	891.23 
A,ICCS0502,P_HTHAB,IT	1867.31 	1765.93 	1680.73 	1541.83 	1049.00 	1183.42 
A,ICCS0502,P_HTHAB,LT	691.11 	598.33 	456.87 	390.17 	338.11 	276.71 
A,ICCS0502,P_HTHAB,LU	1727.38 	1708.24 	1712.94 	1616.73 	1478.66 	1717.58 
A,ICCS0502,P_HTHAB,LV	739.99 	745.29 	726.18 	682.88 	670.92 	417.28 
A,ICCS0502,P_HTHAB,MT	2030.60 	1793.41 	1372.29 	1343.51 	889.69 	867.66 
A,ICCS0502,P_HTHAB,NL	1790.76 	1516.82 	1361.88 	1353.19 	1176.24 	1052.96 
A,ICCS0502,P_HTHAB,PL	332.90 	281.58 	260.25 	270.15 	259.55 	287.32 
A,ICCS0502,P_HTHAB,PT	863.57 	858.82 	850.93 	799.10 	632.86 	621.02 
A,ICCS0502,P_HTHAB,RO	466.08 	489.47 	514.10 	494.19 	454.34 	471.44 
A,ICCS0502,P_HTHAB,SE	3810.73 	3602.88 	3303.14 	3216.50 	3011.72 	2784.26 
A,ICCS0502,P_HTHAB,SI	1036.44 	994.19 	898.94 	862.41 	770.47 	634.76 
A,ICCS0502,P_HTHAB,SK	292.47 	373.39 	248.83 	222.35 	209.62 	179.48 
A,ICCS0703,P_HTHAB,AT	36.22 	36.58 	35.29 	35.65 	32.34 	32.63 
A,ICCS0703,P_HTHAB,BE	45.60 	40.49 	41.49 	41.68 	37.29 	40.73 
A,ICCS0703,P_HTHAB,BG	3.12 	3.28 	9.55 	8.36 	6.99 	8.17 
A,ICCS0703,P_HTHAB,CY	4.83 	3.63 	1.97 	1.83 	1.46 	1.34 
A,ICCS0703,P_HTHAB,CZ	28.04 	25.74 	24.47 	21.96 	15.79 	13.02 
A,ICCS0703,P_HTHAB,DE	7.91 	4.67 	4.80 	5.00 	5.01 	6.15 
A,ICCS0703,P_HTHAB,DK	91.92 	64.66 	83.60 	87.15 	66.51 	81.80 
A,ICCS0703,P_HTHAB,EE	: 	22.12 	28.50 	5.43 	6.09 	6.54 
A,ICCS0703,P_HTHAB,EL	: 	8.38 	6.13 	5.73 	5.66 	7.09 
A,ICCS0703,P_HTHAB,ES	2.46 	2.42 	2.09 	1.88 	1.61 	2.18 
A,ICCS0703,P_HTHAB,FI	66.83 	64.78 	69.76 	71.77 	73.14 	66.86 
A,ICCS0703,P_HTHAB,FR	3.01 	2.94 	3.52 	3.56 	3.40 	4.04 
A,ICCS0703,P_HTHAB,HR	21.60 	18.32 	12.54 	19.26 	13.26 	22.59 
A,ICCS0703,P_HTHAB,HU	11.85 	13.07 	22.89 	18.48 	24.33 	66.96 
A,ICCS0703,P_HTHAB,IE	: 	0.08 	0.12 	0.10 	0.12 	0.16 
A,ICCS0703,P_HTHAB,IT	35.12 	5.90 	5.57 	5.80 	6.32 	6.49 
A,ICCS0703,P_HTHAB,LT	26.35 	26.30 	19.76 	17.72 	19.72 	22.32 
A,ICCS0703,P_HTHAB,LU	0.87 	0.17 	0.50 	0.16 	0.80 	0.63 
A,ICCS0703,P_HTHAB,LV	14.58 	9.49 	12.51 	18.44 	9.54 	10.83 
A,ICCS0703,P_HTHAB,MT	1.11 	0.65 	1.68 	0.81 	3.11 	5.04 
A,ICCS0703,P_HTHAB,NL	40.67 	39.46 	38.59 	38.22 	33.81 	30.07 
A,ICCS0703,P_HTHAB,PL	18.68 	19.53 	26.43 	16.44 	19.77 	16.14 
A,ICCS0703,P_HTHAB,PT	1.47 	1.71 	1.61 	1.65 	1.50 	2.06 
A,ICCS0703,P_HTHAB,RO	7.09 	27.67 	22.42 	21.07 	17.66 	20.92 
A,ICCS0703,P_HTHAB,SE	213.55 	211.05 	207.81 	201.53 	191.63 	205.03 
A,ICCS0703,P_HTHAB,SI	56.15 	47.00 	10.31 	10.52 	14.89 	11.38 
A,ICCS0703,P_HTHAB,SK	1.94 	3.07 	2.77 	2.50 	2.40 	3.41 
