freq,age,sex,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,Y30-44,M,P_HTHAB,DE	1.49 	1.25 	1.38 	1.13 	1.33 	1.01 
A,Y30-44,M,P_HTHAB,DK	2.05 	2.24 	2.44 	0.75 	1.13 	1.69 
A,Y30-44,M,P_HTHAB,EE	5.68 	4.95 	5.57 	3.41 	7.35 	2.64 
A,Y30-44,M,P_HTHAB,ES	1.11 	1.21 	0.92 	1.13 	1.13 	1.10 
A,Y30-44,M,P_HTHAB,FI	2.48 	2.65 	3.56 	1.67 	: 	: 
A,Y30-44,M,P_HTHAB,FR	2.50 	2.15 	2.15 	2.48 	2.34 	2.24 
A,Y30-44,M,P_HTHAB,HR	1.16 	1.64 	1.19 	1.68 	1.68 	1.44 
A,Y30-44,M,P_HTHAB,HU	0.98 	2.35 	0.91 	0.27 	1.02 	0.76 
A,Y30-44,M,P_HTHAB,IE	1.85 	2.41 	1.12 	1.67 	1.87 	0.38 
A,Y30-44,M,P_HTHAB,IT	1.44 	1.03 	1.07 	0.95 	0.97 	0.85 
A,Y30-44,M,P_HTHAB,LT	13.32 	10.94 	9.08 	10.82 	5.78 	6.58 
A,Y30-44,M,P_HTHAB,LV	5.99 	4.03 	7.58 	2.52 	5.02 	2.51 
A,Y30-44,M,P_HTHAB,MT	1.96 	1.89 	1.75 	1.61 	4.36 	1.42 
A,Y30-44,M,P_HTHAB,NL	1.27 	1.60 	0.96 	1.40 	1.01 	0.87 
A,Y30-44,M,P_HTHAB,PL	1.09 	1.43 	1.47 	1.16 	1.38 	1.39 
A,Y30-44,M,P_HTHAB,SI	1.69 	1.27 	0.43 	0.84 	0.42 	: 
A,Y30-44,M,P_HTHAB,SK	2.97 	4.58 	3.10 	4.89 	2.54 	: 
A,Y45-59,F,P_HTHAB,AT	0.60 	0.69 	1.18 	0.89 	0.69 	0.20 
A,Y45-59,F,P_HTHAB,BG	0.67 	: 	: 	: 	: 	: 
A,Y45-59,F,P_HTHAB,CZ	1.19 	0.99 	: 	1.25 	0.65 	0.82 
A,Y45-59,F,P_HTHAB,DE	0.99 	0.70 	0.71 	0.47 	0.50 	0.67 
A,Y45-59,F,P_HTHAB,DK	0.52 	0.17 	0.51 	1.35 	0.34 	0.17 
A,Y45-59,F,P_HTHAB,EE	3.66 	2.95 	: 	0.74 	3.73 	1.50 
A,Y45-59,F,P_HTHAB,ES	0.68 	0.50 	0.51 	0.54 	0.55 	0.31 
A,Y45-59,F,P_HTHAB,FI	0.73 	0.74 	1.32 	0.96 	: 	: 
A,Y45-59,F,P_HTHAB,FR	1.23 	0.84 	0.62 	0.73 	0.63 	0.80 
A,Y45-59,F,P_HTHAB,HR	1.57 	1.35 	0.46 	1.16 	0.71 	0.72 
A,Y45-59,F,P_HTHAB,HU	0.90 	0.92 	2.38 	0.51 	0.70 	0.19 
A,Y45-59,F,P_HTHAB,IE	0.00 	0.44 	0.00 	0.21 	0.21 	0.40 
A,Y45-59,F,P_HTHAB,IT	0.57 	0.44 	0.46 	0.36 	0.43 	0.32 
A,Y45-59,F,P_HTHAB,LT	3.20 	0.88 	2.08 	2.43 	2.79 	2.86 
A,Y45-59,F,P_HTHAB,LV	3.14 	4.54 	8.75 	4.68 	4.29 	4.36 
A,Y45-59,F,P_HTHAB,MT	0.00 	2.34 	0.00 	0.00 	0.00 	0.00 
A,Y45-59,F,P_HTHAB,NL	0.38 	0.59 	0.53 	0.54 	0.54 	0.54 
A,Y45-59,F,P_HTHAB,PL	0.45 	0.56 	0.46 	0.44 	0.47 	0.72 
A,Y45-59,F,P_HTHAB,SI	0.00 	0.90 	0.91 	0.45 	0.45 	0.45 
A,Y45-59,F,P_HTHAB,SK	: 	: 	: 	2.19 	3.98 	1.43 
A,Y45-59,M,P_HTHAB,AT	0.50 	0.69 	0.79 	1.19 	0.60 	0.70 
A,Y45-59,M,P_HTHAB,BG	1.74 	: 	: 	: 	: 	: 
A,Y45-59,M,P_HTHAB,CZ	0.97 	1.26 	: 	1.68 	0.90 	0.61 
A,Y45-59,M,P_HTHAB,DE	1.18 	0.84 	1.03 	0.87 	0.84 	0.78 
A,Y45-59,M,P_HTHAB,DK	1.36 	1.86 	1.68 	0.84 	1.50 	0.33 
A,Y45-59,M,P_HTHAB,EE	7.18 	7.94 	7.08 	7.01 	10.07 	10.03 
A,Y45-59,M,P_HTHAB,ES	1.07 	0.85 	0.83 	0.86 	0.83 	1.05 
A,Y45-59,M,P_HTHAB,FI	3.29 	1.66 	3.75 	1.71 	: 	: 
A,Y45-59,M,P_HTHAB,FR	1.42 	1.83 	1.61 	1.28 	1.53 	1.45 
A,Y45-59,M,P_HTHAB,HR	1.95 	1.63 	0.47 	0.48 	0.72 	1.70 
A,Y45-59,M,P_HTHAB,HU	1.59 	2.24 	1.70 	1.05 	1.22 	1.49 
A,Y45-59,M,P_HTHAB,IE	1.13 	1.11 	1.97 	0.86 	1.26 	0.21 
A,Y45-59,M,P_HTHAB,IT	1.05 	1.27 	0.84 	0.85 	0.67 	0.78 
A,Y45-59,M,P_HTHAB,LT	9.32 	8.36 	9.10 	7.82 	11.63 	8.28 
A,Y45-59,M,P_HTHAB,LV	4.09 	5.16 	5.73 	2.11 	3.72 	3.77 
A,Y45-59,M,P_HTHAB,MT	2.29 	4.55 	2.24 	0.00 	2.09 	0.00 
A,Y45-59,M,P_HTHAB,NL	0.75 	1.22 	0.90 	0.75 	0.81 	1.19 
A,Y45-59,M,P_HTHAB,PL	1.41 	1.60 	1.59 	1.58 	1.44 	1.63 
A,Y45-59,M,P_HTHAB,SI	1.33 	2.18 	0.44 	1.30 	0.43 	0.85 
A,Y45-59,M,P_HTHAB,SK	: 	: 	3.90 	6.08 	3.09 	2.87 
A,Y_GE60,F,P_HTHAB,AT	1.28 	1.26 	1.33 	0.82 	1.12 	1.18 
